CSDUID,CSD,Period,IndicatorSummaryDescription,AQHI,Health Risk,percent_of_hours
4810066,Bruderheim,2012,Air Quality (percent high-quality hours),1,High Quality,14.379
4810066,Bruderheim,2013,Air Quality (percent high-quality hours),1,High Quality,7.771999999999999
4810066,Bruderheim,2014,Air Quality (percent high-quality hours),1,High Quality,10.123999999999999
4810066,Bruderheim,2015,Air Quality (percent high-quality hours),1,High Quality,15.940999999999999
4810066,Bruderheim,2016,Air Quality (percent high-quality hours),1,High Quality,37.811
4810066,Bruderheim,2017,Air Quality (percent high-quality hours),1,High Quality,21.117
4810066,Bruderheim,2018,Air Quality (percent high-quality hours),1,High Quality,13.043
4810066,Bruderheim,2019,Air Quality (percent high-quality hours),1,High Quality,11.897
4810066,Bruderheim,2020,Air Quality (percent high-quality hours),1,High Quality,11.86
4810066,Bruderheim,2021,Air Quality (percent high-quality hours),1,High Quality,6.683
4810066,Bruderheim,2022,Air Quality (percent high-quality hours),1,High Quality,4.948
4810068,Improvement District No. 13 Elk Island,2011,Air Quality (percent high-quality hours),1,High Quality,23.587
4810068,Improvement District No. 13 Elk Island,2012,Air Quality (percent high-quality hours),1,High Quality,27.155
4810068,Improvement District No. 13 Elk Island,2013,Air Quality (percent high-quality hours),1,High Quality,20.159
4810068,Improvement District No. 13 Elk Island,2014,Air Quality (percent high-quality hours),1,High Quality,9.661999999999999
4810068,Improvement District No. 13 Elk Island,2015,Air Quality (percent high-quality hours),1,High Quality,23.096
4810068,Improvement District No. 13 Elk Island,2016,Air Quality (percent high-quality hours),1,High Quality,29.749
4810068,Improvement District No. 13 Elk Island,2017,Air Quality (percent high-quality hours),1,High Quality,16.016
4810068,Improvement District No. 13 Elk Island,2018,Air Quality (percent high-quality hours),1,High Quality,14.566
4810068,Improvement District No. 13 Elk Island,2019,Air Quality (percent high-quality hours),1,High Quality,23.091
4810068,Improvement District No. 13 Elk Island,2020,Air Quality (percent high-quality hours),1,High Quality,28.344
4810068,Improvement District No. 13 Elk Island,2021,Air Quality (percent high-quality hours),1,High Quality,20.091
4810068,Improvement District No. 13 Elk Island,2022,Air Quality (percent high-quality hours),1,High Quality,16.695999999999998
4811012,Leduc County,2011,Air Quality (percent high-quality hours),1,High Quality,31.583
4811012,Leduc County,2012,Air Quality (percent high-quality hours),1,High Quality,33.725
4811012,Leduc County,2013,Air Quality (percent high-quality hours),1,High Quality,31.572
4811012,Leduc County,2014,Air Quality (percent high-quality hours),1,High Quality,38.414
4811012,Leduc County,2015,Air Quality (percent high-quality hours),1,High Quality,45.580999999999996
4811012,Leduc County,2016,Air Quality (percent high-quality hours),1,High Quality,61.105
4811012,Leduc County,2017,Air Quality (percent high-quality hours),1,High Quality,43.541000000000004
4811012,Leduc County,2018,Air Quality (percent high-quality hours),1,High Quality,22.585
4811012,Leduc County,2019,Air Quality (percent high-quality hours),1,High Quality,13.825000000000001
4811012,Leduc County,2020,Air Quality (percent high-quality hours),1,High Quality,13.270999999999999
4811012,Leduc County,2021,Air Quality (percent high-quality hours),1,High Quality,7.641000000000001
4819009,Beaverlodge,2011,Air Quality (percent high-quality hours),1,High Quality,15.478
4819009,Beaverlodge,2012,Air Quality (percent high-quality hours),1,High Quality,6.512
4819009,Beaverlodge,2013,Air Quality (percent high-quality hours),1,High Quality,9.576
4819009,Beaverlodge,2014,Air Quality (percent high-quality hours),1,High Quality,14.503
4819009,Beaverlodge,2015,Air Quality (percent high-quality hours),1,High Quality,14.815000000000001
4819009,Beaverlodge,2016,Air Quality (percent high-quality hours),1,High Quality,26.676
4819009,Beaverlodge,2017,Air Quality (percent high-quality hours),1,High Quality,14.027000000000001
4819009,Beaverlodge,2018,Air Quality (percent high-quality hours),1,High Quality,15.659999999999998
4819009,Beaverlodge,2019,Air Quality (percent high-quality hours),1,High Quality,18.221999999999998
4819009,Beaverlodge,2020,Air Quality (percent high-quality hours),1,High Quality,23.216
4819009,Beaverlodge,2021,Air Quality (percent high-quality hours),1,High Quality,11.681999999999999
4819009,Beaverlodge,2022,Air Quality (percent high-quality hours),1,High Quality,9.544
4810058,Lamont County,2011,Air Quality (percent high-quality hours),1,High Quality,5.236
4810058,Lamont County,2012,Air Quality (percent high-quality hours),1,High Quality,12.24
4810058,Lamont County,2013,Air Quality (percent high-quality hours),1,High Quality,10.274
4810058,Lamont County,2014,Air Quality (percent high-quality hours),1,High Quality,9.855
4810058,Lamont County,2015,Air Quality (percent high-quality hours),1,High Quality,10.03
4810058,Lamont County,2016,Air Quality (percent high-quality hours),1,High Quality,18.541
4810058,Lamont County,2017,Air Quality (percent high-quality hours),1,High Quality,10.85
4810058,Lamont County,2018,Air Quality (percent high-quality hours),1,High Quality,10.613999999999999
4810058,Lamont County,2019,Air Quality (percent high-quality hours),1,High Quality,21.3
4810058,Lamont County,2020,Air Quality (percent high-quality hours),1,High Quality,12.518
4810058,Lamont County,2021,Air Quality (percent high-quality hours),1,High Quality,10.183
4810058,Lamont County,2022,Air Quality (percent high-quality hours),1,High Quality,9.927999999999999
4814003,Yellowhead County,2011,Air Quality (percent high-quality hours),1,High Quality,9.271
4814003,Yellowhead County,2012,Air Quality (percent high-quality hours),1,High Quality,15.794
4814003,Yellowhead County,2013,Air Quality (percent high-quality hours),1,High Quality,13.65
4814003,Yellowhead County,2014,Air Quality (percent high-quality hours),1,High Quality,18.171
4814003,Yellowhead County,2015,Air Quality (percent high-quality hours),1,High Quality,21.046
4814003,Yellowhead County,2016,Air Quality (percent high-quality hours),1,High Quality,30.345
4814003,Yellowhead County,2017,Air Quality (percent high-quality hours),1,High Quality,21.374000000000002
4814003,Yellowhead County,2018,Air Quality (percent high-quality hours),1,High Quality,14.269000000000002
4814003,Yellowhead County,2019,Air Quality (percent high-quality hours),1,High Quality,22.62
4814003,Yellowhead County,2020,Air Quality (percent high-quality hours),1,High Quality,21.961
4814003,Yellowhead County,2021,Air Quality (percent high-quality hours),1,High Quality,14.71
4814003,Yellowhead County,2022,Air Quality (percent high-quality hours),1,High Quality,14.085
4808011,Red Deer,2017,Air Quality (percent high-quality hours),10+,Very Low Quality,0.08
4808011,Red Deer,2018,Air Quality (percent high-quality hours),10+,Very Low Quality,0.35400000000000004
4808011,Red Deer,2019,Air Quality (percent high-quality hours),10+,Very Low Quality,0.35400000000000004
4808011,Red Deer,2021,Air Quality (percent high-quality hours),10+,Very Low Quality,0.011000000000000001
4811056,Fort Saskatchewan,2014,Air Quality (percent high-quality hours),10+,Very Low Quality,0.012
4811056,Fort Saskatchewan,2015,Air Quality (percent high-quality hours),10+,Very Low Quality,0.154
4811056,Fort Saskatchewan,2016,Air Quality (percent high-quality hours),10+,Very Low Quality,0.038
4811056,Fort Saskatchewan,2018,Air Quality (percent high-quality hours),10+,Very Low Quality,0.203
4811056,Fort Saskatchewan,2019,Air Quality (percent high-quality hours),10+,Very Low Quality,0.052
4811056,Fort Saskatchewan,2021,Air Quality (percent high-quality hours),10+,Very Low Quality,0.242
4811061,Edmonton,2013,Air Quality (percent high-quality hours),10+,Very Low Quality,0.10300000000000001
4811061,Edmonton,2015,Air Quality (percent high-quality hours),10+,Very Low Quality,0.08
4811061,Edmonton,2016,Air Quality (percent high-quality hours),10+,Very Low Quality,0.056999999999999995
4811061,Edmonton,2017,Air Quality (percent high-quality hours),10+,Very Low Quality,0.034
4811061,Edmonton,2018,Air Quality (percent high-quality hours),10+,Very Low Quality,0.32
4811061,Edmonton,2019,Air Quality (percent high-quality hours),10+,Very Low Quality,0.11399999999999999
4811061,Edmonton,2021,Air Quality (percent high-quality hours),10+,Very Low Quality,0.17099999999999999
4802012,Lethbridge,2011,Air Quality (percent high-quality hours),10+,Very Low Quality,0.038
4802012,Lethbridge,2017,Air Quality (percent high-quality hours),10+,Very Low Quality,0.17600000000000002
4802012,Lethbridge,2018,Air Quality (percent high-quality hours),10+,Very Low Quality,0.025
4802012,Lethbridge,2020,Air Quality (percent high-quality hours),10+,Very Low Quality,0.012
4802012,Lethbridge,2021,Air Quality (percent high-quality hours),10+,Very Low Quality,0.07200000000000001
4802031,Newell County,2021,Air Quality (percent high-quality hours),10+,Very Low Quality,0.121
4809010,Caroline,2018,Air Quality (percent high-quality hours),10+,Very Low Quality,0.34199999999999997
4809010,Caroline,2019,Air Quality (percent high-quality hours),10+,Very Low Quality,0.163
4809010,Caroline,2021,Air Quality (percent high-quality hours),10+,Very Low Quality,0.012
4809010,Caroline,2022,Air Quality (percent high-quality hours),10+,Very Low Quality,0.012
4806021,Airdrie,2017,Air Quality (percent high-quality hours),10+,Very Low Quality,0.064
4806021,Airdrie,2018,Air Quality (percent high-quality hours),10+,Very Low Quality,0.45399999999999996
4806021,Airdrie,2019,Air Quality (percent high-quality hours),10+,Very Low Quality,0.201
4806021,Airdrie,2021,Air Quality (percent high-quality hours),10+,Very Low Quality,0.012
4801006,Medicine Hat,2015,Air Quality (percent high-quality hours),10+,Very Low Quality,0.245
4801006,Medicine Hat,2017,Air Quality (percent high-quality hours),10+,Very Low Quality,0.012
4802021,"Taber, M.D.",2021,Air Quality (percent high-quality hours),10+,Very Low Quality,0.121
4806016,Calgary,2015,Air Quality (percent high-quality hours),10+,Very Low Quality,0.183
4806016,Calgary,2017,Air Quality (percent high-quality hours),10+,Very Low Quality,0.034
4806016,Calgary,2018,Air Quality (percent high-quality hours),10+,Very Low Quality,0.445
4806016,Calgary,2019,Air Quality (percent high-quality hours),10+,Very Low Quality,0.22799999999999998
4806016,Calgary,2021,Air Quality (percent high-quality hours),10+,Very Low Quality,0.126
4819054,Spirit River No. 133,2017,Air Quality (percent high-quality hours),10+,Very Low Quality,0.055999999999999994
4819054,Spirit River No. 133,2018,Air Quality (percent high-quality hours),10+,Very Low Quality,0.213
4819012,Grande Prairie,2011,Air Quality (percent high-quality hours),10+,Very Low Quality,0.063
4819012,Grande Prairie,2014,Air Quality (percent high-quality hours),10+,Very Low Quality,0.06999999999999999
4819012,Grande Prairie,2017,Air Quality (percent high-quality hours),10+,Very Low Quality,0.116
4819012,Grande Prairie,2018,Air Quality (percent high-quality hours),10+,Very Low Quality,0.5720000000000001
