longitude_(x),latitude_(y),Date,year,month,day,data_quality,max_temp_(°c),max_temp_flag,min_temp_(°c),min_temp_flag,mean_temp_(°c),mean_temp_flag,heat_deg_days_(°c),heat_deg_days_flag,cool_deg_days_(°c),cool_deg_days_flag,total_rain_(mm),total_rain_flag,total_snow_(cm),total_snow_flag,total_precip_(mm),total_precip_flag,snow_on_grnd_(cm),snow_on_grnd_flag,dir_of_max_gust_(10s_deg),dir_of_max_gust_flag,spd_of_max_gust_(km/h),spd_of_max_gust_flag
-114.01,51.12,2015-01-11,2015,1,11,,-6.5,,-19.2,,-12.9,,30.9,,0.0,,0.0,,1.6,,1.6,,22.0,,,,<31,
-114.01,51.12,2015-01-12,2015,1,12,,-2.4,,-20.8,,-11.6,,29.6,,0.0,,0.0,,0.0,T,0.0,T,22.0,,,,<31,
-114.01,51.12,2015-01-13,2015,1,13,,3.8,,-9.9,,-3.1,,21.1,,0.0,,0.0,,0.0,,0.0,,22.0,,,,<31,
-114.01,51.12,2015-01-14,2015,1,14,,9.8,,-0.5,,4.7,,13.3,,0.0,,0.0,,0.0,,0.0,,21.0,,29.0,,52,
-114.01,51.12,2015-01-15,2015,1,15,,9.2,,-1.7,,3.8,,14.2,,0.0,,0.0,,0.0,,0.0,,10.0,,27.0,,63,
-114.01,51.12,2015-01-16,2015,1,16,,6.7,,2.2,,4.5,,13.5,,0.0,,0.0,,0.0,,0.0,,6.0,,27.0,,52,
-114.01,51.12,2015-01-17,2015,1,17,,7.6,,-0.4,,3.6,,14.4,,0.0,,0.0,,0.0,,0.0,,3.0,,27.0,,63,
-114.01,51.12,2015-01-18,2015,1,18,,6.9,,-4.8,,1.1,,16.9,,0.0,,0.2,,1.4,,1.4,,2.0,,28.0,,56,
-114.01,51.12,2015-01-19,2015,1,19,,5.9,,1.6,,3.8,,14.2,,0.0,,0.0,,0.0,,0.0,,2.0,,27.0,,46,
-114.01,51.12,2015-01-20,2015,1,20,,3.6,,-4.1,,-0.3,,18.3,,0.0,,0.0,,0.0,,0.0,,7.0,,29.0,,43,
-114.01,51.12,2015-01-21,2015,1,21,,8.9,,-9.2,,-0.2,,18.2,,0.0,,0.0,,0.0,,0.0,,7.0,,27.0,,59,
-114.01,51.12,2015-01-22,2015,1,22,,9.6,,6.1,,7.9,,10.1,,0.0,,0.0,,0.0,,0.0,,2.0,,27.0,,69,
-114.01,51.12,2015-01-23,2015,1,23,,11.8,,2.7,,7.3,,10.7,,0.0,,0.0,,0.0,,0.0,,1.0,,28.0,,65,
-114.01,51.12,2015-01-24,2015,1,24,,11.0,,2.1,,6.6,,11.4,,0.0,,0.0,T,0.0,,0.0,T,0.0,,29.0,,63,
-114.01,51.12,2015-01-25,2015,1,25,,17.2,,0.6,,8.9,,9.1,,0.0,,0.0,,0.0,,0.0,,0.0,,28.0,,37,
-114.01,51.12,2015-01-26,2015,1,26,,12.3,,1.0,,6.7,,11.3,,0.0,,0.0,,0.0,,0.0,,0.0,,,,<31,
-114.01,51.12,2015-01-27,2015,1,27,,14.4,,-0.7,,6.9,,11.1,,0.0,,0.0,,0.0,,0.0,,0.0,,2.0,,35,
-114.01,51.12,2015-01-28,2015,1,28,,5.6,,-2.3,,1.7,,16.3,,0.0,,0.0,,0.0,,0.0,,0.0,,34.0,,35,
-114.01,51.12,2015-01-29,2015,1,29,,7.8,,-5.4,,1.2,,16.8,,0.0,,0.0,,0.0,,0.0,,0.0,,,,<31,
-114.01,51.12,2015-01-30,2015,1,30,,4.0,,-6.4,,-1.2,,19.2,,0.0,,0.0,,0.0,T,0.0,T,0.0,,4.0,,37,
-114.01,51.12,2015-01-31,2015,1,31,,-5.5,,-17.3,,-11.4,,29.4,,0.0,,0.0,,5.0,,5.0,,3.0,,4.0,,41,
-114.01,51.12,2015-02-01,2015,2,1,,-6.5,,-17.8,,-12.2,,30.2,,0.0,,0.0,,0.0,,0.0,,4.0,,2.0,,39,
-114.01,51.12,2015-02-02,2015,2,2,,-12.7,,-15.3,,-14.0,,32.0,,0.0,,0.0,,1.6,,1.6,,5.0,,,,<31,
-114.01,51.12,2015-02-03,2015,2,3,,-11.3,,-19.8,,-15.6,,33.6,,0.0,,0.0,,0.3,,0.3,,5.0,,,,<31,
-114.01,51.12,2015-02-04,2015,2,4,,5.5,,-16.8,,-5.7,,23.7,,0.0,,0.0,,0.0,,0.0,,6.0,,27.0,,39,
-114.01,51.12,2015-02-05,2015,2,5,,0.3,,-14.5,,-7.1,,25.1,,0.0,,0.0,,1.8,,0.8,,4.0,,9.0,,33,
-114.01,51.12,2015-02-06,2015,2,6,,-12.1,,-15.1,,-13.6,,31.6,,0.0,,0.0,,1.4,,0.5,,6.0,,,,<31,
-114.01,51.12,2015-02-07,2015,2,7,,9.6,,-15.3,,-2.9,,20.9,,0.0,,0.0,,0.0,T,0.0,T,7.0,,28.0,,33,
-114.01,51.12,2015-02-08,2015,2,8,,4.1,,-15.1,,-5.5,,23.5,,0.0,,0.0,T,0.0,,0.0,T,6.0,,35.0,,35,
-114.01,51.12,2015-02-09,2015,2,9,,-10.5,,-15.4,,-13.0,,31.0,,0.0,,0.0,,0.0,T,0.0,T,6.0,,35.0,,32,
-114.01,51.12,2015-02-10,2015,2,10,,-6.9,,-12.7,,-9.8,,27.8,,0.0,,0.0,,0.4,,0.4,,6.0,,,,<31,
-114.01,51.12,2015-02-11,2015,2,11,,-7.1,,-11.1,,-9.1,,27.1,,0.0,,0.0,,0.4,,0.2,,6.0,,19.0,,43,
-114.01,51.12,2015-02-12,2015,2,12,,12.7,,-7.1,,2.8,,15.2,,0.0,,0.0,,0.0,,0.0,,6.0,,28.0,,46,
-114.01,51.12,2015-02-13,2015,2,13,,14.9,,-0.1,,7.4,,10.6,,0.0,,0.0,,0.0,,0.0,,1.0,,29.0,,43,
-114.01,51.12,2015-02-14,2015,2,14,,7.4,,-2.2,,2.6,,15.4,,0.0,,0.0,,0.8,,0.8,,0.0,,34.0,,67,
-114.01,51.12,2015-02-15,2015,2,15,,5.2,,-2.3,,1.5,,16.5,,0.0,,0.0,,0.0,,0.0,,0.0,,2.0,,33,
-114.01,51.12,2015-02-16,2015,2,16,,2.4,,-4.9,,-1.3,,19.3,,0.0,,0.0,,0.0,T,0.0,T,0.0,T,34.0,,43,
-114.01,51.12,2015-02-17,2015,2,17,,0.6,,-7.6,,-3.5,,21.5,,0.0,,0.0,,0.0,T,0.0,T,0.0,,,,<31,
-114.01,51.12,2015-02-18,2015,2,18,,7.7,,-1.8,,3.0,,15.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,<31,
-114.01,51.12,2015-02-19,2015,2,19,,11.3,,-1.5,,4.9,,13.1,,0.0,,0.0,T,0.0,,0.0,T,0.0,,28.0,,61,
-114.01,51.12,2015-02-20,2015,2,20,,3.7,,-5.0,,-0.7,,18.7,,0.0,,0.0,,0.0,T,0.0,T,0.0,,34.0,,48,
-114.01,51.12,2015-02-21,2015,2,21,,-4.3,,-12.4,,-8.4,,26.4,,0.0,,0.0,,3.8,,2.4,,2.0,,3.0,,46,
-114.01,51.12,2015-02-22,2015,2,22,,3.0,,-13.4,,-5.2,,23.2,,0.0,,0.0,,0.0,,0.0,,3.0,,,,<31,
-114.01,51.12,2015-02-23,2015,2,23,,12.6,,-2.7,,5.0,,13.0,,0.0,,0.0,,0.0,,0.0,,2.0,,32.0,,46,
-114.01,51.12,2015-02-24,2015,2,24,,12.0,,0.4,,6.2,,11.8,,0.0,,0.0,,0.2,,0.2,,0.0,,29.0,,59,
-114.01,51.12,2015-02-25,2015,2,25,,1.0,,-12.7,,-5.9,,23.9,,0.0,,0.0,,2.4,,0.6,,0.0,,1.0,,63,
-114.01,51.12,2015-02-26,2015,2,26,,-8.6,,-14.8,,-11.7,,29.7,,0.0,,0.0,,0.6,,0.2,,2.0,,17.0,,44,
-114.01,51.12,2015-02-27,2015,2,27,,-7.3,,-11.7,,-9.5,,27.5,,0.0,,0.0,,0.0,T,0.0,T,1.0,,36.0,,52,
-114.01,51.12,2015-02-28,2015,2,28,,-1.8,,-14.7,,-8.3,,26.3,,0.0,,0.0,,0.0,T,0.0,T,1.0,,33.0,,54,
-114.01,51.12,2015-03-01,2015,3,1,,0.5,,-13.2,,-6.4,,24.4,,0.0,,0.0,,0.0,,0.0,,1.0,,29.0,,41,
-114.01,51.12,2015-03-02,2015,3,2,,0.7,,-14.2,,-6.8,,24.8,,0.0,,0.0,,0.3,,0.3,,1.0,,1.0,,74,
-114.01,51.12,2015-03-03,2015,3,3,,-7.8,,-17.5,,-12.7,,30.7,,0.0,,0.0,,0.0,,0.0,,1.0,,1.0,,39,
-114.01,51.12,2015-03-04,2015,3,4,,2.0,,-17.0,,-7.5,,25.5,,0.0,,0.0,,0.0,,0.0,,1.0,,,,<31,
-114.01,51.12,2015-03-05,2015,3,5,,10.9,,-6.2,,2.4,,15.6,,0.0,,0.0,,0.0,,0.0,,0.0,,29.0,,46,
-114.01,51.12,2015-03-06,2015,3,6,,13.2,,-1.7,,5.8,,12.2,,0.0,,0.0,,0.0,,0.0,,0.0,,29.0,,44,
-114.01,51.12,2015-03-07,2015,3,7,,7.3,,-6.9,,0.2,,17.8,,0.0,,0.0,,0.0,,0.0,,,,5.0,,37,
-114.01,51.12,2015-03-08,2015,3,8,,14.5,,-4.5,,5.0,,13.0,,0.0,,0.0,,0.0,,0.0,,,,27.0,,57,
-114.01,51.12,2015-03-09,2015,3,9,,16.6,,1.2,,8.9,,9.1,,0.0,,0.0,,0.0,,0.0,,,,29.0,,59,
-114.01,51.12,2015-03-10,2015,3,10,,11.9,,-1.9,,5.0,,13.0,,0.0,,0.0,,0.0,,0.0,,,,,,<31,
-114.01,51.12,2015-03-11,2015,3,11,,16.4,,-0.2,,8.1,,9.9,,0.0,,0.0,,0.0,,0.0,,,,28.0,,48,
-114.01,51.12,2015-03-12,2015,3,12,,15.5,,1.4,,8.5,,9.5,,0.0,,0.0,,0.0,,0.0,,,,29.0,,61,
-114.01,51.12,2015-03-13,2015,3,13,,18.1,,3.7,,10.9,,7.1,,0.0,,0.0,,0.0,,0.0,,,,28.0,,41,
-114.01,51.12,2015-03-14,2015,3,14,,16.1,,6.5,,11.3,,6.7,,0.0,,0.0,,0.0,,0.0,,,,27.0,,85,
-114.01,51.12,2015-03-15,2015,3,15,,10.2,,-2.7,,3.8,,14.2,,0.0,,0.0,,2.4,,2.4,,2.0,,4.0,,39,
-114.01,51.12,2015-03-16,2015,3,16,,1.5,,-4.6,,-1.6,,19.6,,0.0,,1.0,,2.7,,2.5,,4.0,,,,<31,
-114.01,51.12,2015-03-17,2015,3,17,,2.2,,-6.8,,-2.3,,20.3,,0.0,,0.0,T,0.0,,0.0,T,4.0,,17.0,,43,
-114.01,51.12,2015-03-18,2015,3,18,,11.1,,-2.5,,4.3,,13.7,,0.0,,0.0,,0.0,,0.0,,2.0,,34.0,,39,
-114.01,51.12,2015-03-19,2015,3,19,,14.7,,-1.8,,6.5,,11.5,,0.0,,0.0,,0.0,,0.0,,,,28.0,,50,
-114.01,51.12,2015-03-20,2015,3,20,,1.6,,-3.0,,-0.7,,18.7,,0.0,,0.0,T,0.0,,0.0,T,,,34.0,,43,
-114.01,51.12,2015-03-21,2015,3,21,,0.4,,-3.2,,-1.4,,19.4,,0.0,,0.2,,0.0,T,0.2,,0.0,,,,<31,
-114.01,51.12,2015-03-22,2015,3,22,,4.2,,-5.3,,-0.6,,18.6,,0.0,,0.0,,0.0,T,0.0,T,0.0,,9.0,,35,
-114.01,51.12,2015-03-23,2015,3,23,,-2.1,,-6.1,,-4.1,,22.1,,0.0,,0.0,,0.8,,0.8,,,,,,<31,
-114.01,51.12,2015-03-24,2015,3,24,,1.6,,-4.0,,-1.2,,19.2,,0.0,,0.0,,0.0,,0.0,,0.0,,,,<31,
-114.01,51.12,2015-03-25,2015,3,25,,11.5,,-6.2,,2.7,,15.3,,0.0,,0.0,,0.0,,0.0,,,,30.0,,41,
-114.01,51.12,2015-03-26,2015,3,26,,18.3,,-0.7,,8.8,,9.2,,0.0,,0.0,,0.0,,0.0,,,,28.0,,59,
-114.01,51.12,2015-03-27,2015,3,27,,21.7,,5.3,,13.5,,4.5,,0.0,,0.0,,0.0,,0.0,,,,27.0,,43,
-114.01,51.12,2015-03-28,2015,3,28,,10.5,,0.8,,5.7,,12.3,,0.0,,0.6,,0.0,,0.6,,,,34.0,,52,
-114.01,51.12,2015-03-29,2015,3,29,,16.6,,-1.1,,7.8,,10.2,,0.0,,0.0,,0.0,,0.0,,,,27.0,,72,
-114.01,51.12,2015-03-30,2015,3,30,,17.6,,-0.7,,8.5,,9.5,,0.0,,0.0,,0.0,,0.0,,,,15.0,,39,
-114.01,51.12,2015-03-31,2015,3,31,,17.9,,0.7,,9.3,,8.7,,0.0,,0.0,T,0.0,,0.0,T,,,28.0,,89,
-114.01,51.12,2015-04-01,2015,4,1,,8.9,,-0.8,,4.1,,13.9,,0.0,,0.0,,0.0,,0.0,,,,34.0,,80,
-114.01,51.12,2015-04-02,2015,4,2,,11.2,,-4.0,,3.6,,14.4,,0.0,,0.0,,0.5,,0.5,,0.0,,2.0,,54,
-114.01,51.12,2015-04-03,2015,4,3,,13.5,,-7.5,,3.0,,15.0,,0.0,,0.0,,0.0,,0.0,,0.0,,11.0,,32,
-114.01,51.12,2015-04-04,2015,4,4,,5.0,,-6.9,,-1.0,,19.0,,0.0,,0.0,,0.0,T,0.0,T,0.0,,9.0,,41,
-114.01,51.12,2015-04-05,2015,4,5,,0.8,,-5.0,,-2.1,,20.1,,0.0,,0.0,,1.8,,1.8,,1.0,,18.0,,33,
-114.01,51.12,2015-04-06,2015,4,6,,-0.7,,-5.1,,-2.9,,20.9,,0.0,,1.0,,1.5,,2.5,,1.0,,11.0,,37,
-114.01,51.12,2015-04-07,2015,4,7,,11.8,,-8.6,,1.6,,16.4,,0.0,,0.0,,0.0,T,0.0,T,0.0,,20.0,,37,
-114.01,51.12,2015-04-08,2015,4,8,,14.7,,-7.1,,3.8,,14.2,,0.0,,0.0,,0.0,,0.0,,,,,,<31,
-114.01,51.12,2015-04-09,2015,4,9,,18.4,,-2.7,,7.9,,10.1,,0.0,,0.0,,0.0,,0.0,,,,,,<31,
-114.01,51.12,2015-04-10,2015,4,10,,17.4,,-2.5,,7.5,,10.5,,0.0,,0.0,,0.0,,0.0,,,,18.0,,52,
-114.01,51.12,2015-04-11,2015,4,11,,14.4,,0.2,,7.3,,10.7,,0.0,,0.0,,0.0,T,0.0,T,,,30.0,,70,
-114.01,51.12,2015-04-12,2015,4,12,,8.1,,-3.6,,2.3,,15.7,,0.0,,0.0,,0.0,,0.0,,,,28.0,,69,
-114.01,51.12,2015-04-13,2015,4,13,,17.5,,-6.9,,5.3,,12.7,,0.0,,0.0,,0.0,,0.0,,,,29.0,,37,
-114.01,51.12,2015-04-14,2015,4,14,,13.5,,-1.7,,5.9,,12.1,,0.0,,0.0,,1.6,,1.6,,0.0,,33.0,,61,
-114.01,51.12,2015-04-15,2015,4,15,,14.9,,-2.7,,6.1,,11.9,,0.0,,0.0,,0.0,,0.0,,,,28.0,,46,
-114.01,51.12,2015-04-16,2015,4,16,,18.3,,2.4,,10.4,,7.6,,0.0,,0.0,,0.0,,0.0,,,,29.0,,50,
-114.01,51.12,2015-04-17,2015,4,17,,20.8,,0.6,,10.7,,7.3,,0.0,,0.0,,0.0,,0.0,,,,28.0,,67,
-114.01,51.12,2015-04-18,2015,4,18,,12.1,,0.4,,6.3,,11.7,,0.0,,2.0,,0.0,T,2.0,,,,1.0,,54,
-114.01,51.12,2015-04-19,2015,4,19,,16.1,,-5.8,,5.2,,12.8,,0.0,,0.0,,0.0,,0.0,,,,,,<31,
-114.01,51.12,2015-04-20,2015,4,20,,20.5,,-1.4,,9.6,,8.4,,0.0,,0.0,,0.0,,0.0,,,,32.0,,41,
-114.01,51.12,2015-04-21,2015,4,21,,21.9,,7.5,,14.7,,3.3,,0.0,,0.0,,0.0,,0.0,,,,15.0,,46,
-114.01,51.12,2015-04-22,2015,4,22,,22.5,,3.6,,13.1,,4.9,,0.0,,0.0,,0.0,,0.0,,,,29.0,,59,
-114.01,51.12,2015-04-23,2015,4,23,,14.6,,-1.6,,6.5,,11.5,,0.0,,0.0,,0.0,,0.0,,,,16.0,,33,
-114.01,51.12,2015-04-24,2015,4,24,,13.1,,0.7,,6.9,,11.1,,0.0,,0.6,,0.0,,0.6,,,,28.0,,39,
-114.01,51.12,2015-04-25,2015,4,25,,4.9,,-1.6,,1.7,,16.3,,0.0,,0.0,T,0.0,,0.0,T,,,35.0,,48,
-114.01,51.12,2015-04-26,2015,4,26,,13.4,,-5.6,,3.9,,14.1,,0.0,,0.0,,0.0,,0.0,,,,16.0,,35,
-114.01,51.12,2015-04-27,2015,4,27,,20.7,,-0.7,,10.0,,8.0,,0.0,,0.0,,0.0,,0.0,,,,28.0,,41,
-114.01,51.12,2015-04-28,2015,4,28,,27.9,,3.1,,15.5,,2.5,,0.0,,0.0,,0.0,,0.0,,,,21.0,,39,
-114.01,51.12,2015-04-29,2015,4,29,,18.4,,3.4,,10.9,,7.1,,0.0,,2.2,,0.0,,2.2,,,,36.0,,67,
-114.01,51.12,2015-04-30,2015,4,30,,15.8,,-1.2,,7.3,,10.7,,0.0,,0.0,,0.0,,0.0,,,,29.0,,56,
-114.01,51.12,2015-05-01,2015,5,1,,17.9,,2.4,,10.2,,7.8,,0.0,,0.0,,0.0,,0.0,,,,29.0,,65,
-114.01,51.12,2015-05-02,2015,5,2,,11.8,,0.5,,6.2,,11.8,,0.0,,0.0,,0.0,T,0.0,T,,,33.0,,56,
-114.01,51.12,2015-05-03,2015,5,3,,15.1,,-1.4,,6.9,,11.1,,0.0,,0.0,,0.0,,0.0,,,,14.0,,35,
-114.01,51.12,2015-05-04,2015,5,4,,21.5,,0.1,,10.8,,7.2,,0.0,,0.0,,0.0,,0.0,,,,10.0,,41,
-114.01,51.12,2015-05-05,2015,5,5,,19.8,,3.0,,11.4,,6.6,,0.0,,1.6,,0.0,T,1.6,,0.0,,32.0,,63,
-114.01,51.12,2015-05-06,2015,5,6,,10.6,,0.6,,5.6,,12.4,,0.0,,0.0,T,0.0,,0.0,T,,,34.0,,56,
-114.01,51.12,2015-05-07,2015,5,7,,15.7,,-3.2,,6.3,,11.7,,0.0,,2.0,,0.2,,2.2,,0.0,,35.0,,61,
-114.01,51.12,2015-05-08,2015,5,8,,14.9,,1.0,,8.0,,10.0,,0.0,,0.0,,1.4,,1.4,,,,34.0,,37,
-114.01,51.12,2015-05-09,2015,5,9,,18.7,,-0.6,,9.1,,8.9,,0.0,,0.0,,0.0,,0.0,,,,1.0,,48,
-114.01,51.12,2015-05-10,2015,5,10,,20.5,,-1.0,,9.8,,8.2,,0.0,,0.0,,0.0,,0.0,,,,31.0,,37,
-114.01,51.12,2015-05-11,2015,5,11,,16.0,,0.2,,8.1,,9.9,,0.0,,0.0,,2.3,,2.3,,0.0,,11.0,,37,
-114.01,51.12,2015-05-12,2015,5,12,,14.3,,-3.5,,5.4,,12.6,,0.0,,0.0,,0.0,,0.0,,,,15.0,,41,
-114.01,51.12,2015-05-13,2015,5,13,,14.4,,-1.8,,6.3,,11.7,,0.0,,0.0,,0.0,,0.0,,,,21.0,,46,
-114.01,51.12,2015-05-14,2015,5,14,,8.1,,5.4,,6.8,,11.2,,0.0,,2.5,,0.0,,2.5,,,,15.0,,32,
-114.01,51.12,2015-05-15,2015,5,15,,12.8,,6.6,,9.7,,8.3,,0.0,,1.0,,0.0,,1.0,,,,17.0,,37,
-114.01,51.12,2015-05-16,2015,5,16,,9.6,,0.9,,5.3,,12.7,,0.0,,19.1,,1.6,,20.7,,0.0,,35.0,,59,
-114.01,51.12,2015-05-17,2015,5,17,,10.0,,0.5,,5.3,,12.7,,0.0,,0.2,,0.0,T,0.2,,,,21.0,,50,
-114.01,51.12,2015-05-18,2015,5,18,,14.5,,1.9,,8.2,,9.8,,0.0,,0.0,,0.0,,0.0,,,,18.0,,48,
-114.01,51.12,2015-05-19,2015,5,19,,16.7,,1.8,,9.3,,8.7,,0.0,,0.0,,0.0,,0.0,,,,17.0,,52,
-114.01,51.12,2015-05-20,2015,5,20,,19.3,,3.1,,11.2,,6.8,,0.0,,,M,0.0,,,M,,,16.0,,56,
-114.01,51.12,2015-05-21,2015,5,21,,21.4,,4.5,,13.0,,5.0,,0.0,,0.0,,0.0,,0.0,,,,15.0,,46,
-114.01,51.12,2015-05-22,2015,5,22,,23.1,,3.0,,13.1,,4.9,,0.0,,0.0,,0.0,,0.0,,,,10.0,,33,
-114.01,51.12,2015-05-23,2015,5,23,,23.8,,3.8,,13.8,,4.2,,0.0,,0.0,,0.0,,0.0,,,,11.0,,37,
-114.01,51.12,2015-05-24,2015,5,24,,22.4,,5.8,,14.1,,3.9,,0.0,,0.0,,0.0,,0.0,,,,15.0,,52,
-114.01,51.12,2015-05-25,2015,5,25,,22.8,,7.3,,15.1,,2.9,,0.0,,0.0,T,0.0,,0.0,T,,,14.0,,44,
-114.01,51.12,2015-05-26,2015,5,26,,21.0,,11.3,,16.2,,1.8,,0.0,,0.0,T,0.0,,0.0,T,,,1.0,,48,
-114.01,51.12,2015-05-27,2015,5,27,,22.2,,11.2,,16.7,,1.3,,0.0,,0.0,T,0.0,,0.0,T,,,19.0,,35,
-114.01,51.12,2015-05-28,2015,5,28,,15.0,,8.4,,11.7,,6.3,,0.0,,0.0,T,0.0,,0.0,T,,,35.0,,54,
-114.01,51.12,2015-05-29,2015,5,29,,14.5,,6.5,,10.5,,7.5,,0.0,,2.0,,0.0,,2.0,,,,15.0,,41,
-114.01,51.12,2015-05-30,2015,5,30,,17.4,,5.5,,11.5,,6.5,,0.0,,,M,0.0,,,M,,,18.0,,35,
-114.01,51.12,2015-05-31,2015,5,31,,25.8,,7.7,,16.8,,1.2,,0.0,,0.0,,0.0,,0.0,,,,29.0,,44,
-114.01,51.12,2015-06-01,2015,6,1,,23.3,,7.9,,15.6,,2.4,,0.0,,1.4,,0.0,,1.4,,,,17.0,,39,
-114.01,51.12,2015-06-02,2015,6,2,,14.1,,8.8,,11.5,,6.5,,0.0,,1.7,,0.0,,1.7,,,,19.0,,48,
-114.01,51.12,2015-06-03,2015,6,3,,14.0,,8.4,,11.2,,6.8,,0.0,,14.7,,0.0,,14.7,,,,14.0,,32,
-114.01,51.12,2015-06-04,2015,6,4,,20.8,,7.0,,13.9,,4.1,,0.0,,6.2,,0.0,,6.2,,,,14.0,,44,
-114.01,51.12,2015-06-05,2015,6,5,,21.7,,6.3,,14.0,,4.0,,0.0,,0.0,,0.0,,0.0,,,,2.0,,39,
-114.01,51.12,2015-06-06,2015,6,6,,24.9,,10.3,,17.6,,0.4,,0.0,,0.0,,0.0,,0.0,,,,35.0,,33,
-114.01,51.12,2015-06-07,2015,6,7,,26.2,,12.1,,19.2,,0.0,,1.2,,0.0,,0.0,,0.0,,,,8.0,,44,
-114.01,51.12,2015-06-08,2015,6,8,,31.9,,11.3,,21.6,,0.0,,3.6,,0.0,,0.0,,0.0,,,,2.0,,52,
-114.01,51.12,2015-06-09,2015,6,9,,23.6,,11.6,,17.6,,0.4,,0.0,,0.0,,0.0,,0.0,,,,9.0,,32,
-114.01,51.12,2015-06-10,2015,6,10,,24.1,,11.9,,18.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,17.0,,44,
-114.01,51.12,2015-06-11,2015,6,11,,29.1,,9.7,,19.4,,0.0,,1.4,,0.0,,0.0,,0.0,,,,36.0,,72,
-114.01,51.12,2015-06-12,2015,6,12,,13.4,,4.5,,9.0,,9.0,,0.0,,6.0,,0.0,,6.0,,,,30.0,,63,
-114.01,51.12,2015-06-13,2015,6,13,,14.8,,4.2,,9.5,,8.5,,0.0,,4.4,,0.0,,4.4,,,,32.0,,56,
-114.01,51.12,2015-06-14,2015,6,14,,14.8,,6.8,,10.8,,7.2,,0.0,,0.2,,0.0,,0.2,,,,34.0,,46,
-114.01,51.12,2015-06-15,2015,6,15,,17.9,,5.2,,11.6,,6.4,,0.0,,0.0,,0.0,,0.0,,,,15.0,,37,
-114.01,51.12,2015-06-16,2015,6,16,,23.6,,6.7,,15.2,,2.8,,0.0,,3.6,,0.0,,3.6,,,,35.0,,48,
-114.01,51.12,2015-06-17,2015,6,17,,12.4,,9.3,,10.9,,7.1,,0.0,,6.0,,0.0,,6.0,,,,,,<31,
-114.01,51.12,2015-06-18,2015,6,18,,20.3,,9.3,,14.8,,3.2,,0.0,,0.3,,0.0,,0.3,,,,33.0,,44,
-114.01,51.12,2015-06-19,2015,6,19,,23.0,,9.5,,16.3,,1.7,,0.0,,1.2,,0.0,,1.2,,,,35.0,,56,
-114.01,51.12,2015-06-20,2015,6,20,,20.3,,4.8,,12.6,,5.4,,0.0,,3.6,,0.0,,3.6,,,,2.0,,39,
-114.01,51.12,2015-06-21,2015,6,21,,18.0,,8.0,,13.0,,5.0,,0.0,,6.2,,0.0,,6.2,,,,31.0,,33,
-114.01,51.12,2015-06-22,2015,6,22,,22.9,,5.2,,14.1,,3.9,,0.0,,0.0,,0.0,,0.0,,,,,,<31,
-114.01,51.12,2015-06-23,2015,6,23,,21.2,,10.4,,15.8,,2.2,,0.0,,0.0,,0.0,,0.0,,,,22.0,,39,
-114.01,51.12,2015-06-24,2015,6,24,,24.3,,8.5,,16.4,,1.6,,0.0,,0.0,,0.0,,0.0,,,,17.0,,37,
-114.01,51.12,2015-06-25,2015,6,25,,27.6,,12.9,,20.3,,0.0,,2.3,,0.0,,0.0,,0.0,,,,18.0,,39,
